"","name","releasedate"
"330","Achcha Bura","1983"
"331","Achchaji","1950"
"332","Achhut","1940"
"333","Achhut Kanya","1936"
"334","Acid Factory","2009"
"335","Action Jackson","2014"
"336","Action Replayy","2010"
"337","Actor","1951"
"338","Actress","1948"
"339","Actress Kyon Bani","1939"
"340","Ada<U+0085> a way of life","2010"
"341","Adaa","1951"
"342","Adaa <U+0096> Will Kill U","2004"
"343","Adaab Arz","1943"
"344","Adaab Dawood Ibrahim Bol Raha Hoon","2015"
"345","Adalat","1948"
"346","Adalat","1975"
"347","Adalat","1977"
"348","Adharm","2009"
"349","Adharm","1992"
"350","Adhikar","1937"
"351","Adhikar","1954"
"352","Adhikar","1971"
"353","Adhikar","1986"
"354","Adhuri Kahani","1939"
"355","Adhuri Suhag Raat","2000"
"356","Adi Manav","1977"
"357","Adil-E-Jahangir","1934"
"358","Adil-E-Jahangir","1956"
"359","Adisaya Piravi","1990"
"360","Aditya Chopra<U+0092>s Next","2015"
"361","Adityam","2017"
"362","Admi Aur Aurat","2001"
"363","Admissions Open","2010"
"364","Adutha Varisu","1983"
"365","Adutha Veetu Penn","1960"
"366","Advaitham","1991"
"367","Adventure Of Robinhood","1965"
"368","Ae Dil Hai Mushkil","2016"
"369","Ae<U+0085> Phansaa","2011"
"370","Aetbaar","2004"
"371","Afghan <U+0096> In Search Of A Home","2017"
"372","Aflatoon","1937"
"373","Aflatoon","1950"
"374","Aflatoon","1962"
"375","Aflatoon","1997"
"376","Aflatoon Aurat","1940"
"377","Afra Tafree","2015"
"378","Africa","1954"
"379","Afsana","1951"
"380","Afsana","1966"
"381","Afsana Do Dil Ka","1983"
"382","Afsana Pyar Ka","1991"
"383","Afsar","1950"
"384","Afterword","2009"
"385","Afzal","1933"
"386","Agabai Arechcha","2004"
"387","Agar","1977"
"388","Agar Tum Na Hote","1983"
"389","Age Badho","1948"
"390","Agent 123","1983"
"391","Agent 777","1988"
"392","Agent Vinod","2012"
"393","Agent Vinod","1977"
"394","Aggar","2007"
"395","Agnee","1988"
"396","Agnee Pareeksha","1982"
"397","Agneepath","2012"
"398","Agneepath","1990"
"399","Agni <U+0096> The Fire","2011"
"400","Agni Chakra","1997"
"401","Agni Morcha","1997"
"402","Agni Nakshatram","1988"
"403","Agni Prem","1996"
"404","Agni Putra","2000"
"405","Agni Rekha","1974"
"406","Agni Sakshi","1982"
"407","Agni Varsha","2002"
"408","Agnikaal","1990"
"409","Agnipankh","2004"
"410","Agnisakshi","1996"
"411","Agosh","1953"
"412","Agra Ka Daabra","2015"
"413","Agra Road","1957"
"414","Agreement","1980"
"415","Agyaat","2009"
"416","Aham Premasmi","2005"
"417","Ahankaar","1995"
"418","Ahinsa","1947"
"419","Ahinsa","1979"
"420","Ahista Ahista","2006"
"421","Ahista Ahista","1981"
"422","Ahsaas","1979"
"423","Ailo Bailo Sailo","1999"
"424","Air Mail","1960"
"425","Airlift","2016"
"426","Aisa Bhi Hota Hai","1971"
"427","Aisa Kyon Hota Hai?","2006"
"428","Aisa Pyar Kahan","1986"
"429","Aisa Yeh Jahaan","2015"
"430","Aisaa Kyon","2003"
"431","Aisha","2010"
"432","Aishwarya","2009"
"433","Aishwarya Rai <U+0096> My Ideal","2007"
"434","Aisi Bhi Kya Jaldi Hai","1996"
"435","Aisi Deewangi","2008"
"436","Aitbaar","1985"
"437","Aithe","2003"
"438","Aitraaz","2004"
"439","Aiyaary","2018"
"440","Aiye","1949"
"441","Aiyyaa","2012"
"442","Aja","1990"
"443","Ajab Gazabb Love","2012"
"444","Ajab Prem Ki Ghazab Kahani","2009"
"445","Ajab Singh Ki Gajab Kahani","2017"
"446","Ajamil","1948"
"447","Ajay","1996"
"448","Ajay Devgn <U+0096> Luv Ranjan<U+0092>s Next","2017"
"449","Ajay Devgn & Sooraj Pancholi Next","2016"
"450","Ajee Bus Shukriya","1958"
"451","Ajeeb Ittefaq","1989"
"452","Ajeeb Ladki","1952"
"453","Ajit","1948"
"454","Ajji","2016"
"455","Ajnabee","2001"
"456","Ajnabi","1967"
"457","Ajnabi","1974"
"458","Ajnabi Saaya","1989"
